user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
8001,Male,66,IN,Premium,84,54,0.1748938134018890,Desktop,0,0,0
8002,Male,56,US,Family,1,23,0.0992440333958739,Desktop,0,0,0
8003,Other,26,FR,Student,1,44,0.1953000224607610,Desktop,0,0,0
8004,Other,59,FR,Premium,37,31,0.3015598322462760,Desktop,0,0,0
8005,Other,21,AU,Family,102,30,0.5011827193382830,Web,0,0,1
8006,Male,41,UK,Free,133,24,0.1423235703047720,Web,1,0,0
8007,Other,46,US,Premium,72,45,0.1673542203886550,Mobile,0,1,0
8008,Female,59,CA,Free,147,31,0.5580852238111180,Web,5,0,1
8009,Female,40,AU,Free,116,1,0.1835349416746870,Mobile,18,1,0
8010,Male,52,DE,Premium,46,78,0.1118074524210560,Desktop,1,1,1
8011,Female,33,AU,Free,129,29,0.1944245117653340,Mobile,1,0,1
8012,Female,21,CA,Student,84,61,0.0996512685789038,Mobile,0,1,0
8013,Other,36,AU,Student,164,35,0.0912381181755269,Web,0,0,0
8014,Other,45,AU,Family,75,38,0.3224061613421210,Desktop,0,1,0
8015,Male,23,UK,Premium,15,20,0.2029295283729780,Desktop,0,0,1
8016,Other,52,CA,Free,179,44,0.2462332929699350,Mobile,4,1,0
8017,Female,69,DE,Free,120,82,0.4133183096181300,Mobile,9,0,1
8018,Other,55,CA,Student,168,29,0.4906828500055670,Web,3,0,0
8019,Other,51,AU,Premium,150,6,0.2319088779860660,Mobile,1,1,0
8020,Male,26,FR,Student,187,38,0.1458744493631040,Desktop,3,0,0
8021,Male,60,IN,Student,20,2,0.0812325450588808,Web,0,0,1
8022,Male,52,AU,Family,213,84,0.1749986161625740,Web,0,0,0
8023,Male,62,DE,Family,260,74,0.1880956607771010,Desktop,1,0,0
8024,Other,35,AU,Family,80,47,0.0445880434963021,Mobile,0,0,0
8025,Female,30,US,Free,170,30,0.3192924639951140,Web,2,0,1
8026,Male,16,FR,Premium,245,60,0.5464431707457390,Web,0,0,1
8027,Female,42,AU,Premium,65,34,0.5365183284656300,Mobile,1,0,1
8028,Male,69,FR,Student,121,27,0.1069703573493970,Desktop,1,1,0
8029,Male,16,DE,Premium,47,52,0.2154539312149880,Mobile,1,1,0
8030,Female,44,IN,Free,137,47,0.3932570997086630,Web,2,0,1
8031,Male,43,IN,Free,59,10,0.1377346167104800,Mobile,0,0,0
8032,Male,23,DE,Free,188,36,0.3605564983677710,Desktop,9,0,1
8033,Female,68,US,Free,116,55,0.302879392140743,Web,0,0,0
8034,Male,42,PK,Family,33,32,0.3652483956497640,Web,1,0,0
8035,Female,25,DE,Premium,119,39,0.1692245080660900,Mobile,0,1,0
8036,Male,48,DE,Student,160,18,0.590931922822335,Desktop,0,0,0
8037,Male,52,FR,Student,154,46,0.1239823153353240,Desktop,2,1,0
8038,Female,21,PK,Student,66,13,0.1488815149883970,Web,0,0,0
8039,Female,39,CA,Family,118,25,0.2630513174003850,Mobile,0,1,0
8040,Male,52,UK,Premium,23,29,0.230839909222839,Desktop,4,1,0
8041,Other,33,PK,Family,118,65,0.4204553961972970,Web,0,0,0
8042,Other,17,AU,Student,161,48,0.3066643945311650,Mobile,0,0,0
8043,Other,33,CA,Student,176,42,0.0357778714320587,Web,1,0,0
8044,Other,24,IN,Free,82,21,0.0828751177780691,Mobile,3,1,0
8045,Male,22,IN,Student,168,55,0.1532184329821540,Desktop,1,0,0
8046,Male,46,IN,Family,156,83,0.3343556898087760,Web,0,1,0
8047,Male,36,PK,Free,176,24,0.2856137679247330,Web,6,0,0
8048,Female,17,CA,Free,87,24,0.4172551242212480,Desktop,7,0,1
8049,Male,41,AU,Family,117,42,0.220251929928893,Web,0,1,0
8050,Female,19,PK,Free,40,21,0.3382365449493980,Web,1,0,1
8051,Other,60,FR,Student,80,28,0.404937444457485,Web,0,0,1
8052,Other,60,CA,Free,221,52,0.1040048460750570,Web,11,1,1
8053,Male,22,CA,Student,135,68,0.3767994008608090,Web,0,0,0
